b	Method	Cells	DOFs	L2_error	H1_error	L2_order	GMRES_iter
1	SUPG	16384	16641	4.294e-06	1.379e-03	2.02	1635
1	GLS	16384	16641	1.891e-05	1.383e-03	0.82	1692
10	SUPG	16384	16641	5.677e-05	1.416e-03	1.99	618
10	GLS	16384	16641	1.464e-04	1.598e-03	1.01	638
20	SUPG	16384	16641	1.535e-04	1.693e-03	1.91	583
20	GLS	16384	16641	1.926e-04	1.880e-03	1.01	608
30	SUPG	16384	16641	2.505e-04	2.178e-03	1.78	601
30	GLS	16384	16641	2.136e-04	2.136e-03	1.02	723
40	SUPG	16384	16641	3.397e-04	2.637e-03	1.59	587
40	GLS	16384	16641	2.258e-04	2.366e-03	1.02	634
50	SUPG	16384	16641	4.168e-04	2.968e-03	1.37	581
50	GLS	16384	16641	2.337e-04	2.576e-03	1.02	639
60	SUPG	16384	16641	4.793e-04	3.176e-03	1.14	697
60	GLS	16384	16641	2.393e-04	2.767e-03	1.01	685
70	SUPG	16384	16641	5.260e-04	3.296e-03	0.92	736
70	GLS	16384	16641	2.434e-04	2.943e-03	1.01	748
80	SUPG	16384	16641	5.569e-04	3.353e-03	0.73	771
80	GLS	16384	16641	2.466e-04	3.105e-03	1.01	702
90	SUPG	16384	16641	5.733e-04	3.364e-03	0.56	944
90	GLS	16384	16641	2.491e-04	3.254e-03	1.01	719
100	SUPG	16384	16641	5.772e-04	3.340e-03	0.43	969
100	GLS	16384	16641	2.511e-04	3.392e-03	1.01	703
