b	Method	Cells	DOFs	L2_error	H1_error	L2_order	GMRES_iter
1	SUPG	16384	16641	3.026e-04	6.442e-02	1.54	495
1	GLS	16384	16641	6.584e-04	6.663e-02	1.22	507
10	SUPG	16384	16641	2.768e-04	6.407e-02	3.09	699
10	GLS	16384	16641	2.644e-03	9.104e-02	0.19	680
20	SUPG	16384	16641	5.338e-04	6.461e-02	2.97	726
20	GLS	16384	16641	2.593e-03	9.909e-02	-0.29	655
30	SUPG	16384	16641	8.993e-04	6.736e-02	2.49	754
30	GLS	16384	16641	2.574e-03	1.089e-01	-0.55	680
40	SUPG	16384	16641	1.134e-03	7.031e-02	2.29	680
40	GLS	16384	16641	2.644e-03	1.258e-01	-0.73	682
50	SUPG	16384	16641	1.297e-03	7.301e-02	2.19	688
50	GLS	16384	16641	2.828e-03	1.592e-01	-0.92	668
60	SUPG	16384	16641	1.416e-03	7.539e-02	2.12	701
60	GLS	16384	16641	3.219e-03	2.282e-01	-1.19	738
70	SUPG	16384	16641	1.508e-03	7.746e-02	2.07	700
70	GLS	16384	16641	4.003e-03	3.625e-01	-1.60	838
80	SUPG	16384	16641	1.581e-03	7.927e-02	2.04	698
80	GLS	16384	16641	5.436e-03	5.974e-01	-2.16	1667
90	SUPG	16384	16641	1.640e-03	8.086e-02	2.01	786
