b	Method	Cells	DOFs	L2_error	H1_error	L2_order	GMRES_iter
1	SUPG	262144	263169	1.362e-05	1.595e-02	2.00	1218
10	SUPG	262144	263169	6.727e-05	1.604e-02	1.51	1594
100	SUPG	262144	263169	5.132e-05	1.605e-02	2.82	1777
1000	SUPG	262144	263169	1.414e-04	1.735e-02	2.02	1850
10000	SUPG	262144	263169	1.544e-04	1.789e-02	1.97	1920
100000	SUPG	262144	263169	1.558e-04	1.796e-02	1.96	2007
1000000	SUPG	262144	263169	1.560e-04	1.797e-02	1.96	2065
10000000	SUPG	262144	263169	1.560e-04	1.797e-02	1.96	2120
100000000	SUPG	262144	263169	1.560e-04	1.797e-02	1.96	2153
1000000000	SUPG	262144	263169	1.560e-04	1.797e-02	1.96	5067
