% a  Peclet  L2_error  H1_error  GMRES_iter  L2_order
1 4.883e-04 16641 4.611894e-06 1664 -1.978
1e-1 4.883e-03 16641 5.334342e-05 613 -1.978
1e-2 4.883e-02 16641 5.309040e-04 403 -1.978
1e-3 4.883e-01 16641 3.289042e-03 368 -1.978
1e-4 4.883e+00 16641 7.395288e-03 430 -1.978
1e-5 4.883e+01 16641 1.444460e-02 565 -1.978
1e-6 4.883e+02 16641 1.813937e-02 650 -1.978
1e-7 4.883e+03 16641 1.869740e-02 670 -1.978
1e-8 4.883e+04 16641 1.875604e-02 674 -1.978
1e-9 4.883e+05 16641 1.876194e-02 673 -1.978
1e-10 4.883e+06 16641 1.876253e-02 673 -1.978
1e-11 4.883e+07 16641 1.876259e-02 673 -1.978
1e-12 4.883e+08 16641 1.876259e-02 673 -1.978
1e-13 4.883e+09 16641 1.876259e-02 673 -1.978
1e-14 4.883e+10 16641 1.876259e-02 673 -1.978
1e-15 4.883e+11 16641 1.876259e-02 673 -1.978
