# a  Peclet  L2_error  H1_error  GMRES_iter  L2_order
1 7.812e-03 4.61189438e-06 1.37890573e-03 1664 2.00
1e-1 7.812e-02 5.33434213e-05 1.59472823e-02 613 2.00
1e-2 7.812e-01 5.30903984e-04 1.59012884e-01 403 1.97
1e-3 7.812e+00 3.28904181e-03 8.44862640e-01 368 1.38
1e-4 7.812e+01 7.39528844e-03 1.49653029e+00 430 1.18
1e-5 7.812e+02 1.44445961e-02 3.45862532e+00 565 0.77
1e-6 7.812e+03 1.81393661e-02 4.79561901e+00 650 0.54
1e-7 7.812e+04 1.86974015e-02 5.00926256e+00 670 0.51
1e-8 7.812e+05 1.87560413e-02 5.03184557e+00 674 0.51
1e-9 7.812e+06 1.87619366e-02 5.03411674e+00 673 0.51
1e-10 7.812e+07 1.87625252e-02 5.03434372e+00 673 0.51
1e-11 7.812e+08 1.87625866e-02 5.03436661e+00 673 0.51
1e-12 7.812e+09 1.87625904e-02 5.03436852e+00 673 0.51
1e-13 7.812e+10 1.87625922e-02 5.03436899e+00 673 0.51
1e-14 7.812e+11 1.87625922e-02 5.03436899e+00 673 0.51
1e-15 7.812e+12 1.87625922e-02 5.03436899e+00 673 0.51
