% Dati per FEM stabilizzato (GLS)
% Colonne: a_value, peclet, error_L2_stab, error_H1_stab, gmres_iters
% 
1 .500000 4.612e-06 1.341e-05 249
0.1 5.000000 5.334e-05 1.271e-03 236
0.01 50.000000 5.309e-04 7.715e-02 89
0.001 500.000000 3.289e-03 5.836e-01 23
0.0001 5000.000000 7.395e-03 8.672e-01 33
0.00001 50000.000000 1.444e-02 8.672e-01 41
0.000001 500000.000000 1.814e-02 8.672e-01 42
0.0000001 5000000.000000 1.870e-02 8.672e-01 42
0.00000001 50000000.000000 1.876e-02 8.672e-01 42
0.000000001 500000000.000000 1.876e-02 8.672e-01 42
0.0000000001 5000000000.000000 1.876e-02 8.672e-01 42
0.00000000001 50000000000.000000 1.876e-02 8.672e-01 42
0.000000000001 500000000000.000000 1.876e-02 8.672e-01 42
0.0000000000001 5000000000000.000000 1.876e-02 8.672e-01 42
